S1E1,Dialogue
TOM JUMBO-GRUMBO," Our guest via satellite is Neal McBeal, a naval officer on leave from Afghanistan. Welcome to the program, Neal."
NEAL MCBEAL," Thank you, Tom."
BOJACK," Hey, I met this guy."
TOM JUMBO-GRUMBO," All Neal wanted when he got home and I emphasize, from Afghanistan was his favorite brand of breakfast muffins. When he went to the supermarket and called dibs on the last box -- Well, tell us what happened, Neal."
NEAL MCBEAL," BoJack Horseman, from the '90s sitcom Horsin' Around, refused to respect my dibs."
TOM JUMBO-GRUMBO," Have you no shame, BoJack Horseman? Seen here sneezing at a Christmas party."
BOJACK," Oh, not the sneezing pic—Why do they always use the sneezing picture?!"
TOM JUMBO-GRUMBO," In the '90s, we laughed at your antics. Oh, how we laughed. ""Ha ha ha,"" we chortled in rapturous glee. But when you deny the dibs called by our men and women on the frontlines, that is a sick joke, sir. A sick, sick joke, indeed, and you'll forgive me if I chortle no longer, for to me—there is nothing the least bit funny about stealing a meal from Neal McBeal, the Navy Seal. [blows out water]"
TODD," Wait, wait, you stole muffins from a Navy Seal?"
BOJACK, I didn't know he was a Navy Seal. I just thought he was the regular kind of seal.
NEAL MCBEAL," This is classic Hollywood elitism. BoJack Horseman thinks that because he was on TV, that makes him better than everybody. Well, guess what, BoJack, now I'm on TV, so now I'm better than everybody!"
TOM JUMBO-GRUMBO," That's right, Neal."
BOJACK," You didn't even have dibs, you stupid sea cow. You guys think I should call in and set the record straight?"
DIANE," BoJack, these people feed off controversy. If you dignify the story with a response, it's just gonna fan—"
TOM JUMBO-GRUMBO, I'm now receiving word that we've got BoJack himself on the phone.
BOJACK," Sorry, stopped listening. You were ramping up to a ""yes,"" right?"
TOM JUMBO-GRUMBO," BoJack, what you did today was a slap in the face of America's heroes. Will, you, apologize?"
BOJACK," Okay, enough about America's heroes. Can we talk about dibs? Because he didn't even really have dibs. If he had legitimate dibs—"
NEAL MCBEAL," Oh, I had dibs on the muffins. I hid them in the produce section!"
BOJACK, You left them totally out in the open. That's hiding? How did you survive in Afghanistan?
NEAL MCBEAL, Those are my muffins! You give me back my muffins!
BOJACK," Hey, guess what, I can't give them back 'cause I ate them all, okay?"
TODD, Dude.
TOM JUMBO-GRUMBO," Hold on, just to be clear, since this morning, you ate all the muffins?"
BOJACK," Yeah, I ate them all in one sitting because I have no self-control and I hate myself. Is that what you want to hear?"
TOM JUMBO-GRUMBO," Neal, was it a small container of muffins, like two to four muffins?"
NEAL MCBEAL," No, Tom, there were a good deal more than that."
TOM JUMBO-GRUMBO, Can you remember exactly how many muffins were in the box?
BOJACK," Yeah, there were exactly twelve! I ate twelve muffins, and I didn't even want one! There's your goddamn news story, the mystery of my missing goddamn self-respect! How'd I come off?"
TODD," Well, that went slightly better than the worst it could have possibly gone, so—hooray?"
BOJACK, It's not even about the muffins. Everyone is just out to get me because I'm famous and so well-adjusted.
DIANE," Well, at least you've got some privacy. My boyfriend's filming a reality show at our house. If I want to be alone, I have to go to the roof because it's the only place they don't have insurance to film."
BOJACK, You go on the roof?
DIANE," Yeah, just to get some work done. Is that really weird?"
BOJACK," No, it's adorable."
DIANE," When I was a kid, I used to climb onto the roof with my dad and look at the stars. What about you? Were you close with your father?"
BOJACK," Happy Father's Day, Daddy."
BUTTERSCOTCH," What is this supposed to be, a Lima bean?"
BOJACK, It's a heart.
BUTTERSCOTCH," That's some shoddy craftsmanship, son."
BOJACK, I tried my best.
BUTTERSCOTCH," No, you didn't. You slacked off and took the easy way out. In this world, you can either do things the easy way or the right way. You take a boat from here to New York, you gonna go around the horn like a gentleman or cut through the Panama Canal like some kind of democrat?"
BOJACK," Um, the canal?"
BUTTERSCOTCH, You go around the horn the way God intended!
BOJACK, Uneventful.
DIANE, What?
BOJACK, What?
DIANE," I asked if you were close with your father, and you sat here in silence for five minutes and then said, ""Uneventful."""
BOJACK," You know what, this is a really good conversation, and I definitely want to keep having it, but I just keep thinking about the muffins thing, so maybe we could put a pin in this thorough deconstruction of my past, so I can put that other thing to bed before it spirals out of con"
NEAL MCBEAL, I had dibs! My dibs were on those muffins!
BOJACK, Your dibs were void!
NEAL MCBEAL," I spent a year in Afghanistan making America safer, and this is the thanks I get?"
BOJACK," Really, you, specifically, made America safer?"
TOM JUMBO-GRUMBO," Well, BoJack, surely, even you would agree that the troops are heroes."
BOJACK," I don't agree to that. Maybe some of the troops are heroes but not automatically. I'm sure a lot of the troops are jerks. Most people are jerks already, and it's not like giving a jerk a gun and telling him it's okay to kill people suddenly turns that jerk into a hero. [Beat] What?"
TOM JUMBO-GRUMBO, Did you just say you think the troops are jerks?
BOJACK," Oh, you took that the bad way, didn't you?"
BOJACK," ""I'm sure a lot of the troops are jerks."" No, no, no."
TOM JUMBO-GRUMBO, The troops are jerks?
BOJACK," Oh, God. ""Most people are jerks already, and it's not like giving a jerk a gun—"""
BOJACK, Hello?
LAURA, Princess Carolyn needs to talk to you immediately.
BOJACK," Great, put her on."
LAURA, She's actually just getting out of a meeting. Can you hold for a sec?
BOJACK, You called me.
BOJACK, Ugh. 
PRINCESS CAROLYN, BoJack.
BOJACK, Ah!
PRINCESS CAROLYN," I'm gonna level with you, honey. This whole you hating the troops thing is not great."
BOJACK," I don't hate the troops. I just hate one specific troop. I don't even hate him, really. I just think that he's wrong about the muffins."
PRINCESS CAROLYN," I know, BoJack just like always, you're right, and everyone else is wrong. But if you don't swallow your pride, this is never gonna let up. I know you're stubborn—"
BOJACK, I'm not stubborn. I'm proud.
PRINCESS CAROLYN, That's kind of the same thing.
BOJACK," No, it's an important distinction."
PRINCESS CAROLYN," Okay, fine. You're not stubborn. But I'm about to tell you something very important, so I want you to listen carefully. I'm getting another call. I'm gonna have to put you on hold."
TOM JUMBO-GRUMBO," It is now day three of the great ""BoJack jerk-off""—Really? That's the name we came up with for this? Who came up with that? Was it Randy? Did Randy come up with that? Anyway, the former television actor who hates our troops has not left his home since his controversial remarks on Monday about how he hates the troops."
BEAR," BoJack Horseman makes me sick. He voiced his opinion, even though it was unpopular, and that's the most cowardly thing a person can do."
PAM," After we made love, he covered himself in sheets—like an Arab."
JOAN," At this very moment, Congress is voting on a major education bill that could completely restructure the—"
TOM JUMBO-GRUMBO," Joan, I'm sorry to interrupt you, but we've got some big news on the BoJack Horseman front. It appears that BoJack's Lexus is coming out of the garage. This is very big news, indeed."
Reporter, Any comment on BoJack's controversial remarks this week?
Todd," Uh, nope."
BoJack, So where are we going?
Todd," Don't worry, I've got a plan."
Diane, Whoa! Jeez.
Todd," Ayako, hey, I need you to get me three tickets to Kyoto."
Ayako," ""You son of a bitch! You told me you were an obscenely rich American entrepreneur. You had eighty dollars in your bank account."""
Todd," Hey, I meant I was rich because I have friends like George Bailey."
Ayako," ""Eighty! Who the shit is George Bailey? Do you have any idea how much work went into scamming you? George Bailey!"""
Todd," Hello? Well, I'm out of ideas."
Diane, We can hide out at my place while we make a plan.
BoJack," Yeah, great, just get me away from the cameras."
BoJack, Do we really need to be filming this?
Mr. Peanutbutter, It's for my reality show. You never know when gold's gonna strike.
BoJack," Yeah, gold doesn't strike."
Mr. Peanutbutter, That's why you never know.
Princess Carolyn," BoJack, be nice."
Mr. Peanutbutter, Just pretend they're not there.
BoJack," Okay. Well, I—"
Boom Mic Man," Could you speak up, please?"
BoJack, I'd like to—
Boom Mic Man," Whoa, whoa, whoa, whoa. That's too loud."
BoJack," I want to fix this as quickly as possible. I don't care who was right about the muffins anymore, even though I was definitely right. I just want my privacy back, so I can finish writing my tell-all memoir, so everyone will pay attention to me again."
Princess Carolyn, I've already reached out to the McBeal camp. He's willing to publicly forgive you if you publicly apologize and present to him a box of muffins as a symbol of your great admiration for the American military and everything they do.
BoJack, But I ate the muffins.
Princess Carolyn, I know. We got another box. It's in the cupboard.
BoJack," Oh, you were saving those? I ate those too."
Princess Carolyn," We've been here for ten minutes! It's okay, we'll get more muffins."
Todd," I'll get the muffins, and they're on me. I just found out I got 80 bucks in the bank. I'm helping! Hooray!"
BoJack, So where are we gonna do this? Do I have to go on MSNBSea?
Princess Carolyn," No, we should do it somewhere people will actually see it."
Mr. Peanutbutter," Oh, why don't you do it on Peanutbutter and Jelly?"
BoJack, You can't call a show Peanutbutter and Jelly -- if there's no jelly.
Mr. Peanutbutter, It's a pun.
BoJack, It's not a pun if it only works one way.
Princess Carolyn, Is this a necessary conversation to be having right now?
Mr. Peanutbutter," Look, I know tempers are high, but let's not take it out on the great title for my reality show, which we all agree is really clever. We can edit this to make me look smart, right?"
Mr. Peanutbutter, How's this look? Looks good? Okay.
Man," Marker, sound, speed."
Mr. Peanutbutter," Well, here I am, hanging out with my good friend -- BoJack Horseman, enjoying each other's company, as we often do."
BoJack," Yes, this is all very authentic and natural."
Mr. Peanutbutter," Oh, someone's at the door! I will see who it is. Wow, this is a surprise. Neal McBeal."
Neal McBeal," Hello, sir. Thank you for inviting me into your home. It is lovely."
Mr. Peanutbutter," BoJack, is there anything you'd like to give Neal McBeal?"
BoJack," Oh, yeah, Todd? What the hell is this?"
Todd," I tried to buy the muffins, but my bank card got declined for some reason. But don't worry, I still saved the day because I found this bag of stale hamburger buns."
